task_id,avg_loss_increase,avg_prob_drop,forgotten_rate,avg_combined_risk,n,task_name
0,1.9768577524423598,0.0316308282426151,0.9996,0.4673901626620014,5000,Task 1
1,2.815956168925762,0.4031000202687457,1.0,0.3157689134519364,5000,Task 2
