score,n,pearson_r,pearson_p,spearman_r,spearman_p
risk_margin,5000,0.6319179557354018,0.0,0.7160869536325252,0.0
combined_risk,5000,0.6386149826006952,0.0,0.6463961818989824,0.0
risk_probe_logit_drift,5000,0.6020124497542789,0.0,0.547132840626205,0.0
corrected_probe_risk,5000,0.5070863689332282,0.0,0.5094006002902802,0.0
risk_probe_prob_drift,5000,0.36005265518528595,6.394157868751172e-153,0.36240155610303865,4.840094251951587e-155
